Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Shazam Counts
725.4,390470936.0,30716.0,196631588.0,92.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,210.0,40975.0,684.0,62.0,17598718.0,114.0,2669262.0
545.9,323703884.0,28113.0,174597137.0,92.0,3486739.0,674700.0,35223547.0,208339025.0,156380351.0,188.0,40778.0,3.0,67.0,10422430.0,111.0,1118279.0
538.4,601309283.0,54331.0,211607669.0,92.0,2228730.0,3025400.0,275154237.0,3369120610.0,373784955.0,190.0,74333.0,536.0,136.0,36321847.0,172.0,5285340.0
410.1,670665438.0,105892.0,175421034.0,83.0,1392593.0,4202367.0,214943489.0,2938686633.0,2867222632.0,138.0,522042.0,4654.0,86.0,17167254.0,152.0,4517131.0
330.6,90676573.0,10400.0,184199419.0,86.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,191.0,3823.0,117.0,78.0,10800098.0,92.0,666302.0
316.3,221636195.0,13800.0,197280692.0,92.0,1307290.0,195300.0,45889000.0,360017000.0,342107131.0,244.0,41344.0,45.0,138.0,38243636.0,163.0,450344.0
299.9,925655569.0,103605.0,79944921.0,79.0,4294166.0,11054500.0,521725116.0,7499234052.0,2042145659.0,94.0,92231.0,228.0,60.0,5633435.0,83.0,2765808.0
297.6,395433400.0,12784.0,177932568.0,89.0,2484083.0,139300.0,25348800.0,207317000.0,268893710.0,221.0,129968.0,3.0,99.0,37988531.0,134.0,1210029.0
292.6,91272461.0,6499.0,52287548.0,86.0,569377.0,941900.0,119740900.0,1225345800.0,5839168.0,76.0,181.0,1.0,24.0,5054005.0,33.0,257661.0
281.5,547882871.0,24425.0,262343414.0,95.0,1825761.0,209200.0,169144295.0,1379499000.0,422646034.0,298.0,37208.0,236.0,167.0,41414565.0,149.0,1373085.0
237.5,124893397.0,3479.0,25936342.0,82.0,4907193.0,212500.0,48327004.0,390081328.0,38798822.0,36.0,2188.0,32.0,3.0,347997.0,26.0,191867.0
234.6,670376179.0,98450.0,150471020.0,83.0,2566846.0,2114363.0,369150956.0,3932956380.0,3031114430.0,225.0,486952.0,1215.0,180.0,19469488.0,188.0,6447136.0
